campaign_id,channel,campaign_name,start_date,end_date,spend,impressions,clicks,conversions,revenue
C001,Email,Welcome Series Q1,2024-01-04,2024-01-30,6449.3,289559,10892,356,70615.11
C002,Email,Welcome Series Q2,2024-04-02,2024-06-03,4531.53,183961,7339,353,56029.13
C003,Email,Welcome Series Q3,2024-07-05,2024-09-13,5899.31,300267,11995,616,124538.81
C004,Email,Welcome Series Q4,2024-09-27,2024-12-09,6834.92,368831,16006,556,116968.68
C005,Email,Spring Sale Q1,2024-01-11,2024-02-11,2556.48,107204,6218,323,65260.73
C006,Email,Spring Sale Q2,2024-04-14,2024-06-12,2748.96,160665,5762,230,44192.09
C007,Email,Spring Sale Q3,2024-07-10,2024-09-09,3153.73,130536,6871,401,84983.85
C008,Email,Spring Sale Q4,2024-10-04,2024-12-23,2606.01,118728,6162,263,46760.1
C009,Email,Loyalty Reward Q1,2024-01-07,2024-03-14,3601.87,211548,11056,577,96213.71
C010,Email,Loyalty Reward Q2,2024-04-07,2024-05-12,4773.56,216714,13057,721,122165.26
C011,Email,Loyalty Reward Q3,2024-07-09,2024-09-25,6609.88,271790,15564,929,166769.11
C012,Email,Loyalty Reward Q4,2024-09-29,2024-11-06,7478.82,383989,20841,770,142417.15
C013,Email,Cart Abandonment Q1,2024-01-15,2024-02-18,3589.28,161275,8026,312,59184.69
C014,Email,Cart Abandonment Q2,2024-04-12,2024-05-30,3315.92,198791,9596,309,49398.27
C015,Email,Cart Abandonment Q3,2024-07-02,2024-08-05,5764.68,321908,14729,460,82077.74
C016,Email,Cart Abandonment Q4,2024-10-11,2024-12-08,3508.48,179158,10882,597,97673.75
C017,Email,Re-engagement Q1,2024-01-09,2024-03-23,5845.77,246872,11386,526,110558.25
C018,Email,Re-engagement Q2,2024-04-08,2024-06-04,6571.77,329598,12084,638,130128.17
C019,Email,Re-engagement Q3,2024-07-05,2024-08-08,4243.48,183449,11201,719,149714.77
C020,Email,Re-engagement Q4,2024-10-07,2024-12-02,2116.86,124009,7305,443,77222.45
C021,Email,Summer Blast Q1,2024-01-02,2024-02-11,7268.06,428372,15450,733,118079.92
C022,Email,Summer Blast Q2,2024-04-04,2024-05-07,5958.5,351175,13469,660,126004.54
C023,Email,Summer Blast Q3,2024-07-05,2024-09-27,5235.78,285866,11261,459,97528.68
C024,Email,Summer Blast Q4,2024-10-08,2024-11-30,7397.68,362706,14776,461,73030.42
C025,Email,Flash Sale Q1,2024-01-08,2024-03-10,3321.3,137567,7122,267,55402.72
C026,Email,Flash Sale Q2,2024-04-10,2024-05-09,5084.94,231718,11025,545,107580.86
C027,Email,Flash Sale Q3,2024-07-14,2024-08-23,6707.72,376638,14720,478,86600.86
C028,Email,Flash Sale Q4,2024-10-10,2024-11-30,4802.15,262108,13889,924,150346.07
C029,Email,VIP Newsletter Q1,2024-01-13,2024-03-24,4035.82,230983,9415,339,61748.19
C030,Email,VIP Newsletter Q2,2024-04-13,2024-05-19,3671.27,165192,9942,455,93299.97
C031,Email,VIP Newsletter Q3,2024-07-02,2024-07-30,5912.87,300443,10222,331,65893.13
C032,Email,VIP Newsletter Q4,2024-10-04,2024-11-08,4438.48,220269,12886,817,135938.47
C033,Paid_Ad,Google Search Q1,2024-01-01,2024-02-19,12508.45,2785952,56925,1121,178471.43
C034,Paid_Ad,Google Search Q2,2024-04-15,2024-05-19,11228.26,1992073,30751,767,93236.69
C035,Paid_Ad,Google Search Q3,2024-07-09,2024-08-06,8852.42,1754045,46103,992,120417.83
C036,Paid_Ad,Google Search Q4,2024-09-29,2024-12-17,11159.02,2316643,53763,889,110267.33
C037,Paid_Ad,Facebook Retarget Q1,2024-01-08,2024-03-10,18106.83,3794295,75818,1698,239344.77
C038,Paid_Ad,Facebook Retarget Q2,2024-04-08,2024-05-16,19385.34,3588899,64767,958,139974.37
C039,Paid_Ad,Facebook Retarget Q3,2024-07-13,2024-08-27,23793.31,5588066,82800,1907,272025.41
C040,Paid_Ad,Facebook Retarget Q4,2024-09-30,2024-10-29,17139.78,3436024,56244,1038,126521.03
C041,Paid_Ad,YouTube Awareness Q1,2024-01-08,2024-02-25,12844.79,2505437,53978,954,152947.03
C042,Paid_Ad,YouTube Awareness Q2,2024-03-31,2024-06-06,21890.77,4026813,92853,2634,328302.36
C043,Paid_Ad,YouTube Awareness Q3,2024-07-02,2024-09-21,9819.61,2005732,36367,827,123338.54
C044,Paid_Ad,YouTube Awareness Q4,2024-10-03,2024-12-10,18782.05,3401780,70945,1972,304745.69
C045,Paid_Ad,Google Display Q1,2024-01-03,2024-03-08,15200.79,2768587,40821,1043,152026.39
C046,Paid_Ad,Google Display Q2,2024-04-08,2024-05-13,20600.93,4205359,84480,1078,131688.74
C047,Paid_Ad,Google Display Q3,2024-07-03,2024-08-31,8612.48,1632386,35360,700,84529.77
C048,Paid_Ad,Google Display Q4,2024-10-08,2024-12-29,23862.5,5673922,86258,1605,236973.12
C049,Paid_Ad,Instagram Ads Q1,2024-01-04,2024-02-20,21261.98,4905793,97234,2239,280974.89
C050,Paid_Ad,Instagram Ads Q2,2024-04-07,2024-06-26,10762.53,2410709,40815,796,100720.39
C051,Paid_Ad,Instagram Ads Q3,2024-07-09,2024-09-22,23823.87,5340806,136656,3583,466527.52
C052,Paid_Ad,Instagram Ads Q4,2024-09-30,2024-11-18,22826.84,5220212,91367,2404,332551.9
C053,Paid_Ad,LinkedIn Sponsored Q1,2024-01-10,2024-03-27,21520.87,3835183,57520,911,120968.96
C054,Paid_Ad,LinkedIn Sponsored Q2,2024-04-02,2024-06-15,12745.12,2693280,53154,1545,218650.04
C055,Paid_Ad,LinkedIn Sponsored Q3,2024-06-29,2024-07-31,22909.65,4144291,91238,2657,320452.27
C056,Paid_Ad,LinkedIn Sponsored Q4,2024-10-10,2024-11-26,20385.27,3773194,84286,1786,241428.28
C057,Paid_Ad,Bing Search Q1,2024-01-07,2024-02-17,8754.57,1706130,36256,948,140159.9
C058,Paid_Ad,Bing Search Q2,2024-04-06,2024-05-24,15332.06,3616985,95132,2194,322215.83
C059,Paid_Ad,Bing Search Q3,2024-07-02,2024-09-11,23300.8,4673436,107969,1952,289447.93
C060,Paid_Ad,Bing Search Q4,2024-10-01,2024-11-07,15147.59,3563153,82787,2298,332869.04
C061,Paid_Ad,TikTok Ads Q1,2024-01-10,2024-02-29,17314.93,2770951,50750,1005,144076.16
C062,Paid_Ad,TikTok Ads Q2,2024-04-10,2024-06-03,15510.36,3319995,70187,1820,289949.56
C063,Paid_Ad,TikTok Ads Q3,2024-07-04,2024-09-09,9441.52,1899975,43082,785,120398.42
C064,Paid_Ad,TikTok Ads Q4,2024-10-04,2024-12-11,13277.13,2981048,49356,660,105814.71
C065,Social,Instagram Reels Q1,2024-01-03,2024-02-26,7901.09,1246680,32579,1206,192634.51
C066,Social,Instagram Reels Q2,2024-04-07,2024-05-11,9592.41,1154280,42498,1653,233265.06
C067,Social,Instagram Reels Q3,2024-07-12,2024-08-20,6231.21,1105902,35770,732,108307.83
C068,Social,Instagram Reels Q4,2024-09-30,2024-11-23,5933.37,877418,28601,958,144878.63
C069,Social,TikTok Challenge Q1,2024-01-15,2024-03-19,10705.05,1857553,56828,2410,379343.29
C070,Social,TikTok Challenge Q2,2024-04-05,2024-06-16,11030.46,1621523,59727,2430,362825.6
C071,Social,TikTok Challenge Q3,2024-07-14,2024-09-17,6674.72,977127,35274,889,135235.29
C072,Social,TikTok Challenge Q4,2024-09-29,2024-11-01,6055.81,865872,21935,541,84349.29
C073,Social,Facebook Stories Q1,2024-01-11,2024-03-10,8261.47,1022240,39245,1144,197855.03
C074,Social,Facebook Stories Q2,2024-03-31,2024-06-18,11164.6,1725393,54449,2359,354636.51
C075,Social,Facebook Stories Q3,2024-07-11,2024-09-28,11241.49,1912668,62608,2379,414882.55
C076,Social,Facebook Stories Q4,2024-10-04,2024-11-29,6535.95,955230,21929,609,102676.68
C077,Social,LinkedIn Post Q1,2024-01-13,2024-03-24,6155.31,911253,22645,795,109149.04
C078,Social,LinkedIn Post Q2,2024-04-12,2024-06-13,8950.74,1088643,37820,857,135544.43
C079,Social,LinkedIn Post Q3,2024-06-30,2024-08-10,7653.73,1015647,29124,1126,173627.01
C080,Social,LinkedIn Post Q4,2024-10-10,2024-11-20,10844.38,1607336,59119,1213,220392.57
C081,Social,Twitter Campaign Q1,2024-01-08,2024-03-14,5480.33,972414,22533,450,66541.32
C082,Social,Twitter Campaign Q2,2024-03-31,2024-06-03,6066.68,773946,27284,917,134305.93
C083,Social,Twitter Campaign Q3,2024-07-07,2024-09-19,7582.27,1185514,48491,1822,315814.57
C084,Social,Twitter Campaign Q4,2024-10-02,2024-11-15,5756.69,699672,19863,725,131944.41
C085,Social,Pinterest Ads Q1,2024-01-13,2024-04-07,10005.1,1246233,44440,1566,220635.72
C086,Social,Pinterest Ads Q2,2024-04-09,2024-06-27,9789.81,1647935,62106,2092,288636.0
C087,Social,Pinterest Ads Q3,2024-07-12,2024-09-17,7594.0,1141815,33057,1353,237413.46
C088,Social,Pinterest Ads Q4,2024-09-30,2024-11-21,11725.51,1854214,71037,2650,415793.96
C089,Social,YouTube Shorts Q1,2024-01-09,2024-03-13,10657.39,1623017,51422,1560,266899.24
C090,Social,YouTube Shorts Q2,2024-04-08,2024-05-23,10961.99,1861826,44802,1871,276356.89
C091,Social,YouTube Shorts Q3,2024-07-13,2024-09-12,9272.32,1323525,30376,1244,180042.02
C092,Social,YouTube Shorts Q4,2024-10-03,2024-11-19,10584.83,1486325,58415,2170,323896.13
C093,Social,Influencer Collab Q1,2024-01-01,2024-02-28,11636.44,1456146,52749,1672,288239.26
C094,Social,Influencer Collab Q2,2024-04-15,2024-06-20,9982.9,1466392,33332,891,138471.43
C095,Social,Influencer Collab Q3,2024-07-06,2024-08-19,9647.72,1371338,45290,1268,233106.98
C096,Social,Influencer Collab Q4,2024-10-07,2024-11-23,9919.98,1351646,36801,820,119100.12
C097,Organic,SEO Blog Q1,2024-01-04,2024-03-16,2071.73,68670,1058,15,3284.36
C098,Organic,SEO Blog Q2,2024-04-09,2024-05-10,2665.26,73441,1278,20,4674.58
C099,Organic,SEO Blog Q3,2024-07-03,2024-08-14,1091.03,26898,447,11,2520.09
C100,Organic,SEO Blog Q4,2024-10-12,2024-11-12,2745.44,84803,1581,28,5576.7
C101,Organic,Google My Business Q1,2024-01-02,2024-02-12,2882.13,85693,1942,33,6332.35
C102,Organic,Google My Business Q2,2024-04-01,2024-05-05,1298.4,39931,669,17,3311.9
C103,Organic,Google My Business Q3,2024-07-12,2024-09-13,2192.25,68882,1525,26,6420.99
C104,Organic,Google My Business Q4,2024-10-06,2024-12-25,2177.05,63452,1255,15,3755.51
C105,Organic,Product Reviews Q1,2024-01-04,2024-03-29,2525.47,79567,1298,16,3245.3
C106,Organic,Product Reviews Q2,2024-04-02,2024-05-07,1005.35,29563,593,9,1820.5
C107,Organic,Product Reviews Q3,2024-07-08,2024-09-15,2719.21,67583,1078,16,3827.56
C108,Organic,Product Reviews Q4,2024-10-03,2024-11-24,1229.55,32826,492,7,1374.71
C109,Organic,Referral Program Q1,2024-01-02,2024-02-06,2585.26,80506,1827,46,9935.27
C110,Organic,Referral Program Q2,2024-04-14,2024-06-22,1608.18,46363,760,14,3022.49
C111,Organic,Referral Program Q3,2024-06-30,2024-09-19,1864.06,51947,839,10,2504.86
C112,Organic,Referral Program Q4,2024-09-27,2024-12-09,2344.56,63852,878,20,4361.06
C113,Organic,YouTube SEO Q1,2024-01-15,2024-04-07,1556.31,55970,1022,24,6022.98
C114,Organic,YouTube SEO Q2,2024-04-15,2024-06-01,1816.7,50599,733,10,2141.69
C115,Organic,YouTube SEO Q3,2024-07-14,2024-08-26,2325.17,66977,1471,17,3277.8
C116,Organic,YouTube SEO Q4,2024-10-05,2024-11-19,1231.84,40984,949,22,4115.67
C117,Organic,Podcast Mention Q1,2024-01-15,2024-03-06,1108.41,33497,683,12,2594.1
C118,Organic,Podcast Mention Q2,2024-04-01,2024-05-09,1534.11,39230,650,16,3503.86
C119,Organic,Podcast Mention Q3,2024-06-29,2024-09-02,2217.74,59594,900,17,3798.63
C120,Organic,Podcast Mention Q4,2024-09-29,2024-11-07,2984.51,104324,1936,25,6048.04
C121,Organic,PR Coverage Q1,2024-01-16,2024-04-09,2433.21,73255,1202,28,7047.49
C122,Organic,PR Coverage Q2,2024-04-07,2024-05-31,2102.53,60138,1431,27,6615.96
C123,Organic,PR Coverage Q3,2024-07-01,2024-08-12,2545.35,87185,1497,34,6957.54
C124,Organic,PR Coverage Q4,2024-09-27,2024-11-09,2452.1,83493,1662,35,8543.75
C125,Organic,Word of Mouth Q1,2024-01-15,2024-03-14,1968.68,55101,1212,20,4971.36
C126,Organic,Word of Mouth Q2,2024-04-06,2024-06-14,1477.61,42253,974,17,3535.99
C127,Organic,Word of Mouth Q3,2024-07-14,2024-09-22,2826.86,80776,1984,46,10581.53
C128,Organic,Word of Mouth Q4,2024-10-01,2024-11-26,2929.65,74749,1816,29,5615.1
